Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,514.739990,523.299988,514.739990,522.729980,522.729980,3991400000
2010-01-05,522.630005,524.700012,521.280029,524.599976,524.599976,2491020000
2010-01-06,524.150024,525.359985,523.090027,524.309998,524.309998,4972660000
2010-01-07,523.950012,526.820007,521.630005,526.340027,526.340027,5270680000
2010-01-08,525.789978,527.940002,524.270020,527.760010,527.760010,4389590000
2010-01-11,528.260010,529.739990,526.299988,528.609985,528.609985,4255780000
2010-01-12,526.940002,526.940002,522.289978,524.289978,524.289978,4716160000
2010-01-13,524.729980,529.419983,522.900024,527.929993,527.929993,4170360000
2010-01-14,527.929993,530.739990,527.500000,529.599976,529.599976,3915200000
2010-01-15,529.390015,529.400024,522.059998,524.109985,524.109985,4758730000
2010-01-19,524.109985,530.380005,523.780029,530.210022,530.210022,4724830000
2010-01-20,529.140015,529.140015,520.869995,524.729980,524.729980,4810560000
2010-01-21,524.969971,526.039978,512.960022,514.130005,514.130005,6874290000
2010-01-22,513.510010,513.799988,501.470001,502.350006,502.350006,6208650000
2010-01-25,502.600006,507.839996,502.600006,504.540009,504.540009,4481390000
2010-01-26,504.190002,508.250000,501.630005,502.640015,502.640015,4731910000
2010-01-27,502.609985,506.670013,499.130005,505.540009,505.540009,5319120000
2010-01-28,504.929993,506.690002,496.760010,499.670013,499.670013,5452400000
2010-01-29,501.450012,505.070007,494.089996,495.089996,495.089996,5412850000
2010-02-01,495.089996,501.480011,495.089996,501.329987,501.329987,4077610000
2010-02-02,502.010010,508.380005,500.859985,507.570007,507.570007,4749540000
2010-02-03,506.380005,507.609985,503.589996,505.190002,505.190002,4285450000
2010-02-04,505.190002,505.190002,489.899994,490.070007,490.070007,5859690000
2010-02-05,490.730011,492.070007,481.799988,491.339996,491.339996,6438900000
2010-02-08,490.950012,493.359985,486.730011,486.850006,486.850006,4089820000
2010-02-09,488.420013,497.269989,488.420013,493.040009,493.040009,5114260000
2010-02-10,492.760010,494.820007,488.609985,492.290009,492.290009,4251450000
2010-02-11,491.869995,497.640015,489.019989,496.579987,496.579987,4400870000
2010-02-12,495.700012,496.260010,489.519989,494.899994,494.899994,4160680000
2010-02-16,496.760010,503.910004,496.760010,503.350006,503.350006,4080770000
2010-02-17,503.850006,506.049988,503.350006,505.269989,505.269989,4259230000
2010-02-18,504.959991,509.179993,504.339996,508.450012,508.450012,3878620000
2010-02-19,507.709991,510.100006,505.299988,508.570007,508.570007,3944280000
2010-02-22,508.989990,510.109985,506.869995,508.279999,508.279999,3814440000
2010-02-23,508.049988,508.910004,501.420013,502.489990,502.489990,4521050000
2010-02-24,503.130005,508.339996,503.130005,507.529999,507.529999,4168360000
2010-02-25,505.309998,505.480011,498.510010,505.299988,505.299988,4521130000
2010-02-26,505.350006,507.470001,503.260010,506.059998,506.059998,3945190000
2010-03-01,506.470001,510.470001,506.470001,510.329987,510.329987,3847640000
2010-03-02,511.220001,513.849976,510.470001,511.269989,511.269989,4134680000
2010-03-03,511.859985,514.659973,510.679993,511.769989,511.769989,3951320000
2010-03-04,512.010010,514.440002,511.339996,514.099976,514.099976,3945010000
2010-03-05,515.190002,520.840027,515.190002,520.450012,520.450012,4133000000
2010-03-08,520.450012,521.479980,519.750000,520.429993,520.429993,3774680000
2010-03-09,520.119995,523.909973,519.080017,521.419983,521.419983,5185570000
2010-03-10,521.289978,525.000000,521.210022,523.469971,523.469971,5469120000
2010-03-11,522.859985,525.750000,520.780029,525.750000,525.750000,4669060000
2010-03-12,526.500000,526.979980,524.099976,525.520020,525.520020,4928160000
2010-03-15,524.659973,526.580017,522.169983,526.390015,526.390015,4164110000
2010-03-16,526.570007,530.390015,526.409973,529.969971,529.969971,4369770000
2010-03-17,530.190002,534.179993,530.190002,532.510010,532.510010,4963200000
2010-03-18,532.619995,533.489990,530.690002,533.030029,533.030029,4234510000
